ID	Art	Ven	BgArt	BgVen	
Id1	3241.190193	4242.688189	1130.809278	1684.134021	 
Id2	3770.991979	4073.145963	1052.605	1832.675	 
Id3	9938.930412	5860.430152	1057.1	1492.265	 
Id4	2041.698331	3479.22293	1029.314286	1591.28	 
Id5	2095.754458	3290.35489	1014.39	1569.73	 
Id6	4690.166667	4667.250708	991.566667	1627.055	 
Id7	1718.153846	2663.228448	992.747423	1365.809278	 
Id8	3220.505913	2720.482569	927.965	1281.105	 
Id9	3514.959215	2773.255515	982.907216	1186.737113	 
Id10	1442.332253	2609.031915	924.552381	1246.84	 
Id11	2055.908385	3049.734317	890.778351	1293.103093	 
Id12	6861.602601	4937.506983	1070.381443	1458	 
Id13	1864.7	2874.254438	961.118557	1435.417526	 
Id14	2495.961538	3819.121076	978.655	1482.525	 
Id15	3621.013405	5606.425466	992.96	1469.221649	 
Id16	1983.146099	2845.721284	927.72	1236.27	 
Id17	4729.004566	3039.257603	943.293814	1164.180412	 
Id18	1358.207092	2477.142292	918.710938	1414.207031	 
Id19	1565.6475	3197.983213	1027.32967	1462.368132	 
Id20	1390.026049	2652.164483	966.957031	1546.304688	 
Id21	1487.842713	2662.858896	979.792969	1475.816406	 
Id22	1395.011364	2787.771739	989.323864	1671.074219	 
Id23	2969.243386	3957.330289	976.155	1768.215	 
Id24	1376.91723	3338.56917	991.796875	2109.6875	 
Id25	1632.842215	3484.462617	951.140625	1967.128205	 
Id26	3014.883333	3011.553354	1111.39	1517.057143	 
Id27	11008.14106	10008.47563	1079.875	1845.555	 
Id28	6685.812343	6848.441019	1120.83	1859.09	 
Id29	6285.405548	4589.329023	1035.915	1711.065	 
Id30	2188.87973	3219.881902	988.925	1388.7	 
Id31	5515.437908	4867.692201	989.08	1472.955	 
Id32	4000.32567	4444.192098	993.235	1275.63	 
Id33	2338.420455	2765.26087	940.52	1119.902062	 
Id34	4142.219828	3623.258268	931.07732	1210.257732	 
Id35	2610.130045	2799.971537	940.041237	1232.278351	 
Id36	5514.097826	3608.844175	1003.719048	1503.515	 
Id37	2456.918283	2933.96112	943.695	1575.012821	 
Id38	4161.46	4679.032624	928.71	1399.445	 
Id39	4064.315364	7405.112162	1013.655	1293.075	 
Id40	3981.664021	4049.504373	942.165	1391.85	 
Id41	2728.875175	3178.843517	961.99	1227.975	 
Id42	1937.135496	2623.156385	966.346154	1536.089844	 
Id43	2010.497087	2823.908884	1043.521978	1540.221649	 
Id44	2344.938462	3005.329439	1051.198864	1441.384615	 
Id45	1968.232082	2656.775385	1029.815	1413.957031	 
Id46	2277.839713	2599.954362	1117.443182	1370.726563	 
Id47	2346.3391	3142.488636	1005.758242	1499.675824	 
Id48	3207.834081	3501.928241	1337.295455	1476.551136	 
Id49	2273.833962	2791.27027	1133.43956	1530.964844	 
Id50	2637.129252	3076.866667	1145.475	1456.6	 
Id51	1478.214085	2782.117647	1021.664835	1590.39	 
Id52	10158.71721	4071.137514	1037.647541	1710.114754	 
Id53	1489.992883	3079.218232	1005.965909	1726.263736	 
Id54	2447.417149	2795.405109	1096.857143	1413.95	 
Id55	1940.848066	2798.831288	1196.221591	1547.755682	 
