ID	Art	Ven	BgArt	BgVen	
Id1	4067.891344	2842.637782	1326.214286	958.296703	 
Id2	6475.218371	10978.41374	1266.983516	1150.192308	 
Id3	3030.810277	2484.827027	1292.82967	1019.423077	 
Id4	2742.410122	2586.023973	1351.798969	975.67033	 
Id5	5077.300623	4061.628049	1321.051546	1007.536082	 
Id6	2630.277064	2023.559259	1268.180412	959.67033	 
Id7	3455.741722	2189.164297	1315.943299	979.958763	 
Id8	3853.525974	2498.663522	1316.974227	949.768041	 
Id9	2674.279588	2191.110957	1276.495	943.87	 
Id10	2543.636201	2273.91358	1159.350515	954.054945	 
Id11	7128.703642	8993.629149	1360.472527	1015.242268	 
Id12	2373.872958	1865.402318	1105.850515	948.701031	 
Id13	2710.039867	2355.165653	1135.041237	947.597938	 
Id14	3381.724238	5209.609164	1197.795	983.62	 
Id15	2661.330537	2044.804598	1261.242268	946.365	 
Id16	3727.120135	2021.589063	1395.731959	921.865979	 
Id17	2298.262821	1409.657377	1428.278409	1014.339844	 
Id18	3014.427975	1602.563265	1747.845361	1016.43299	 
Id19	3095.073048	2141.323596	1470.232955	1013.840909	 
Id20	2928.081818	1918.074554	1472.536082	1041.475	 
Id21	2355.64186	1751.115578	1443.628866	984.8125	 
Id22	3356.442681	5148.611195	1556.608247	998.969072	 
Id23	2257.278481	1377.487023	1399.635	1003.148438	 
Id24	2859.607595	2012.78	1482.731959	979.654639	 
Id25	3402.192308	2098.131373	1293.895604	1029.983516	 
Id26	6698.178218	16046.82886	1367.727273	1022.274725	 
Id27	4776.142096	9400.810084	1309.384615	1098.412088	 
Id28	4941.881919	6797.406196	1428.571429	977.67033	 
Id29	2990.922145	2676.68	1384.14433	972.634021	 
Id30	5988.648062	9828.513235	1351.896907	1025.097938	 
Id31	3148.429838	6411.232938	1307.865	1054.938144	 
Id32	2752.150808	2867.237774	1296.561856	972.983516	 
Id33	4059.877408	4377.504587	1252.021978	921.510309	 
Id34	2446.621406	1942.987216	1146.82	872.28	 
Id35	4011.595304	2225.372385	1095.835	911.39	 
Id36	2676.445561	2215.190328	1356.36	990.056701	 
Id37	3298.183284	5076.160935	1208.15	973.57	 
Id38	3239.634253	7187.80704	1219.865	877.915	 
Id39	4147.068182	4682.303523	1273.2	969.455	 
Id40	2602.116766	2999.689189	1117.045	890.545	 
Id41	2161.767532	1992.141593	1289.535156	995.017045	 
Id42	2627.889381	2283.881057	1335.401099	1015.244318	 
Id43	2500.490476	2292.758621	1326.477273	1030.401099	 
Id44	2487.313084	1854.118852	1365.78022	1051.126374	 
Id45	2387.206316	1852.060484	1337.979381	1002.82967	 
Id46	2435.201271	2081.370722	1256.571429	967.10989	 
Id47	2553.014957	2128.562105	1312.725275	1024.8125	 
Id48	2476.014085	2037.287698	1406.978022	1036.038462	 
Id49	2788.433663	2564.520499	1329.428571	1021.450549	 
Id50	2202.040936	1499.904762	1242.647727	1010.380682	 
Id51	8308.022008	5176.558496	1300.335	1039.14	 
Id52	2460.224615	1495.511706	1427.392045	1018.005682	 
Id53	2974.690813	2403.694656	1316.871134	971.860825	 
Id54	2546.234783	1831.360577	1459.4375	1084.909091	 
Id55	12412.23004	20186.15094	1177.12381	1190.045	 
Id56	2438.108787	2232.549363	1176.016484	966.757732	 
Id57	4147.322293	4907.816667	1277.861905	956.239316	 
Id58	2634.771429	2298.554755	1293.02	913.12	 
Id59	2904.261654	3156.81882	1289.445	973.065	 
Id60	2940.222222	2806.460362	1247.32	921.585	 
Id61	4242.177809	5390.228947	1355.775	955.64	 
Id62	2547.819392	1835.640379	1463.125	956.12	 
Id63	4454.34322	6223.907452	1403.145	913.2	 
Id64	2904.055732	1615.145631	1357.735	943.04	 
Id65	4185.112549	3561.163915	1966.914286	970.838095	 
Id66	13799.76939	19426.58292	2027.965812	1230.478632	 
Id67	3894.427746	1432.014269	1962.850427	933.660156	 
